Size, Proteins
2,"Hypothetical proteinalu:BB31_41390","Hypothetical proteinalu:BB31_33495"
2,"Predicted in CGMaja:AJAP_RS11070","Glycosyl transferaseaja:AJAP_RS28580(1)"
2,"Clp proteasefri:FRAEUI1C_RS18220","Hypothetical proteinfri:FRAEUI1C_RS19490"
2,"Hypothetical proteinamt:PL618","Hypothetical proteinamt:AMET_RS03165"
2,"Hypothetical proteinapt:PS3558","Hypothetical proteinapt:PS3560"
2,"Hypothetical proteinapt:APA01_RS01995","Hypothetical proteinapt:PS3672"
2,"Hypothetical proteinfsy:FSYMDG_RS02540","Hypothetical proteinfsy:FSYMDG_RS00135"
2,"Hypothetical proteingm03724:ACHR_RS15495","Terminasegm03724:ACHR_RS06290"
2,"Hypothetical proteinaxl:AXY_RS11810","Hypothetical proteinaxl:AXY_RS11815"
2,"Hypothetical proteinaxy:AXYL_RS15005","Lipoproteinaxy:AXYL_RS15010"
2,"Hypothetical proteinaxy:AXYL_RS14670","Hypothetical proteinaxy:AXYL_RS22980"
2,"Hypothetical proteingm03692:AXYLO_4116","Hypothetical proteingm03692:AXYLO_4304"
2,"Exported proteingm03843:BBS798_RS03790","Exported proteingm03843:BBS798_RS03800"
2,"Hypothetical proteingm03843:BBS798_RS03995","Hypothetical proteingm03843:BBS798_RS09615"
2,"ABC transporter substrate-binding proteinbav:BAV_RS04645","Hypothetical proteinbav:BAV_RS13305"
2,"Ribonuclease P protein componentbafh:BAFHLJ01_RS00350","Lipoproteinbafh:BAFHLJ01_RS02315"
2,"Exodeoxyribonuclease V subunit gammabafh:BAFHLJ01_RS03215(3)","DNA primasebafh:BAFHLJ01_RS03595(3)"
2,"Hypothetical proteinbafe:BAFK78_F009","Hypothetical proteinbafe:BAFK78_F012"
2,"Oligopeptide permease-like proteinbafe:BAFK78_B014","Outer surface protein Cbafe:BAFK78_B019"
2,"Membrane proteinbgr:BGR_RS06040","Membrane proteinbgr:BGR_RS09245"
2,"Hypothetical proteinbhy:BHWA1_RS06685","Phage tail proteinbhy:BHWA1_RS08980"
2,"Hypothetical proteinbja:BSL1161","Hypothetical proteinbja:BSL3813"
2,"Hypothetical proteinbja:BLL1010","Hypothetical proteinbja:BLR3860"
2,"Hypothetical proteinbja:BLL2824","Predicted in CGMbja:BSR4027"
2,"Hypothetical proteinbja:BLL5355","Hypothetical proteinbja:BLR5561"
2,"Hypothetical proteinbja:BSR4471","Hypothetical proteinbja:BSR6782"
2,"Hypothetical proteinbad:BAD_RS06720","Hypothetical proteinbad:BAD_RS06725"
2,"Hypothetical proteinbad:BAD_RS06605","Hypothetical proteinbad:BAD_RS06650"
2,"Predicted in CGMbbre:B12L_RS04940","Lipoprotein Bbbre:B12L_RS04950"
2,"PadR family transcriptional regulatorbadl:BADO_RS08155","Hypothetical proteinbadl:BADO_RS08150"
2,"Hypothetical proteinblx:GS08_RS00070","Hypothetical proteinblx:GS08_RS00065"
2,"Hypothetical proteinblj:BLD_RS06000","Predicted in CGMblj:PS1752"
2,"Hypothetical proteinblj:PL165","Hypothetical proteinblj:PS2306"
2,"Predicted in CGMbmb:01PS2663","Hypothetical proteinbmb:01PS1368"
2,"Hypothetical proteinbcs:01PS2520","Hypothetical proteinbcs:01PS594"
2,"Peptidasegm03855:DO75_RS14045(2)","Putative TIM-barrel proteingm03855:DO75_RS14075"
2,"Hypothetical proteinbmf:01PS2155","Hypothetical proteinbmf:BAB_RS16900"
2,"Hypothetical proteinbmf:01PS1488","Predicted in CGMbmf:02PS278"
2,"Glycosyl transferase family 1gm03855:DO75_RS11530","Inner-membrane translocatorgm03855:DO75_RS01500"
2,"Hypothetical proteinbmf:01PS534","ATP/GTP-binding proteinbmf:02ST746"
2,"Glutamine amidotransferasegm03855:DO75_RS07365(1)","Nucleoside diphosphate kinase regulatorgm03855:DO75_RS05420(2)"
2,"Hypothetical proteingm03855:DO75_RS08050","Hypothetical proteingm03855:DO75_RS05140"
2,"Hypothetical proteinbmf:01PS1345","Hypothetical proteinbmf:02PL722"
2,"Hypothetical proteingm03941:DR61_RS03395","Hypothetical proteingm03941:DR61_RS03405"
2,"Hypothetical proteinbma:BMA3022","Predicted in CGMbma:01PS952"
2,"Membrane proteingm03941:DR61_RS09700","Hypothetical proteingm03941:DR61_RS09690"
2,"Hypothetical proteinbma:01PL1257","Predicted in CGMbma:01ST2300"
2,"Hypothetical proteinbam:BAMB_RS07575","Hypothetical proteinbam:BAMB_RS06950"
2,"IMP dehydrogenasegm03941:DR61_RS07460","Hypothetical proteingm03941:DR61_RS07425"
2,"Hypothetical proteingm03941:DR61_RS07455","Putative membrane proteingm03941:DR61_RS07420"
2,"Hypothetical proteinbma:BMA0825","Hypothetical proteinbma:01PL1430"
2,"Lipid A biosynthesis acyltransferasebma:01ST1483","Hypothetical proteinbma:01PL1685"
2,"Hypothetical proteingm03922:DR54_RS17945","Hypothetical proteingm03922:DR54_RS17975"
2,"Capsular polysaccharide biosynthesis proteingm03941:DR61_RS14930","Capsular polysaccharide biosynthesis proteingm03941:DR61_RS14940"
2,"Predicted in CGMbma:01PL977","Hypothetical proteinbma:01PS2846"
2,"Hypothetical proteinbmn:01PS2014","Predicted in CGMbmn:01PS2966"
2,"Hypothetical proteinbml:01PL390","FOG: LysM repeatbml:01ST1443"
2,"Predicted in CGMbma:01PS3967","Hypothetical proteinbma:01PL2782"
2,"Predicted in CGMbmv:BMASAVP1_A1564","Hypothetical proteinbmv:BMASAVP1_A3388"
2,"Cell envelope biogenesis protein TonBbam:BAMB_RS13590","Putative sperm-specific protein Phi-1bam:BAMB_RS24930"
2,"Hypothetical proteingm03941:DR61_RS07595","Membrane proteingm03941:DR61_RS26160"
2,"Hypothetical proteinbma:01PS2830","Hypothetical proteinbma:02PS2528"
2,"Hypothetical proteingm03941:DR61_RS06900","Bacteriophage protein Gp46gm03941:DR61_RS06890"
2,"Hypothetical proteinbmn:02PS2324","Hypothetical proteinbmn:02PL876"
2,"Hypothetical proteinbma:01PL264","Predicted in CGMbma:02PS1614"
2,"Hypothetical proteinbgl:BGLU_RS08595","Hypothetical proteinbgl:BGLU_RS08605"
2,"Predicted in CGMgm03941:DR61_RS19030","Hypothetical proteingm03941:DR61_RS19340"
2,"Membrane proteingm03941:DR61_RS06170","Hypothetical proteingm03941:DR61_RS19560"
2,"Hypothetical proteinbma:01PS2687","Hypothetical proteinbma:02PL1054"
2,"Membrane proteingm03885:BM43_RS22805","Hypothetical proteingm03885:BM43_RS02220"
2,"Predicted in CGMbma:02PL696","Hypothetical proteinbma:02PL546"
2,"Hypothetical proteingm03941:DR61_RS21175","Transposasegm03941:DR61_RS21180"
2,"Hypothetical proteinbma:02PL1434","Hypothetical proteinbma:02PS2051"
2,"Membrane proteingm03940:BW21_RS05940","Membrane proteingm03940:BW21_RS05870"
2,"Hypothetical proteingm03940:BW21_RS05080","Predicted in CGMgm03940:BW21_RS04775"
2,"Hypothetical proteinbql:PS1857","Hypothetical proteinbql:PS2217"
2,"Hypothetical proteinbaz:PS1845","Hypothetical protein; phage SPbetabaz:PS1812"
2,"Membrane proteingm03780:AAV29_RS10480","Hypothetical proteingm03780:AAV29_RS10510"
2,"Hypothetical proteinbacl:BS34A_22490","Hypothetical proteinbacl:BS34A_22820"
2,"SPBc2 prophage-derived uncharacterized protein yorQbacl:BS34A_22460","SPBc2 prophage-derived uncharacterized protein yopGbacl:BS34A_23060"
2,"Hypothetical proteinbacl:BS34A_22910","Hypothetical proteinbacl:BS34A_23160"
2,"Phage proteingm03780:AAV29_RS11010","Hypothetical proteingm03780:AAV29_RS11015"
2,"Hypothetical proteinbacl:BS34A_23400","Hypothetical proteinbacl:BS34A_23410"
2,"Hypothetical proteingm03780:AAV29_RS10915","Hypothetical proteingm03780:AAV29_RS11050"
2,"Hypothetical proteinbjs:MY9_RS09545","Hypothetical proteinbjs:MY9_RS11400"
2,"Toxic peptide TxpAbacl:BS34A_28500","Hypothetical proteinbacl:BS34A_28670"
2,"Hypothetical proteinbacl:BS34A_28810","Membrane proteinbacl:BS34A_28840"
2,"Hypothetical proteingm03778:AAV30_RS15505","Hypothetical proteingm03778:AAV30_RS02250"
2,"Hypothetical proteinbacl:BS34A_27760","Hypothetical proteinbacl:BS34A_40740"
2,"Phage-like element PBSX protein XkdDgm03778:AAV30_RS13045","Hypothetical proteingm03778:AAV30_RS01360"
2,"Hypothetical proteinbacl:BS34A_26290","Hypothetical proteinbacl:BS34A_42150"
2,"Protein of unknown functionbdo:EL88_RS02610","Protein of unknown functionbdo:EL88_RS02615"
2,"Hypothetical proteinbdo:EL88_RS02320","Membrane proteinbdo:EL88_RS02360"
2,"16S rRNA maturation RNase YbeYbuc:PS534","Predicted in CGMbuc:PL550"
2,"Hypothetical proteincac:CA_C0486","Hypothetical proteincac:CA_C1878"
2,"Hypothetical proteincac:CA_C0558","Hypothetical proteincac:PL2782"
2,"Hypothetical proteincac:CA_C1983","Hypothetical proteincac:CA_C3357"
2,"Beta and gamma crystallincac:ST3205","Transcriptional regulatorcac:ST2006"
2,"Hypothetical proteincbg:CBUG_RS07250","Hypothetical proteincbg:CBUG_RS06075"
2,"Hypothetical proteinchs:PS116","Hypothetical proteinchs:PS196"
2,"Hypothetical proteingm04455:CD630DERM_RS05315","Hypothetical proteingm04455:CD630DERM_RS05355"
2,"Hypothetical proteingm04455:CD630DERM_RS01100","Hypothetical proteingm04455:CD630DERM_RS07430"
2,"Lipoproteingm04455:CD630DERM_RS09805","Hypothetical proteingm04455:CD630DERM_RS10960"
2,"Hypothetical proteingm04455:CD630DERM_RS03555","Hypothetical proteingm04455:CD630DERM_RS11160"
2,"Predicted in CGMgm02408:PS1348","Putative beta-lactamase inducergm02408:ST3125(4)"
2,"Hypothetical proteincah:CAETHG_RS05670","Putative membrane proteincah:CAETHG_RS05675"
2,"Hypothetical proteingm04060:CGLAR1_RS02755","Hypothetical proteingm04060:CGLAR1_RS02945"
2,"Hypothetical proteincef:CE_RS07405(2)","Putative membrane proteincef:CE_RS07405(1)"
2,"Hypothetical proteincdz:CD31A_RS03635","Hypothetical proteincdz:CD31A_RS03630"
2,"MFS transporter permeasegm04060:CGLAR1_RS10315(2)","MFS transporter permeasegm04060:CGLAR1_RS10315(3)"
2,"Hypothetical proteingm04060:CGLAR1_RS02605","Hypothetical proteingm04060:CGLAR1_RS10570"
2,"DNA primasecaz:CARG_RS03710","Hypothetical proteincaz:CARG_RS07010"
2,"Hypothetical proteingm04060:CGLAR1_RS05310","Hypothetical proteingm04060:CGLAR1_RS10805"
2,"Hypothetical proteingm04060:CGLAR1_RS01125","Hypothetical proteingm04060:CGLAR1_RS13430"
2,"Hypothetical proteingm04061:SB89_RS05050","Hypothetical proteingm04061:SB89_RS13225"
2,"Choline transporter BetTcgl:NCGL2390","Transcription antiterminator BglGcgl:ST649"
2,"Hypothetical proteincjz:HK74_RS06080","Exporting proteincjz:HK74_RS06870"
2,"Membrane proteinccol:BN865_RS06035(2)","Membrane proteinccol:BN865_RS06035(3)"
2,"Putative periplasmic proteincjx:BN867_RS02630(5)","Putative periplasmic proteincjx:BN867_RS02630(6)"
2,"Hypothetical proteingm03954:VC76_RS04985","Membrane proteingm03954:VC76_RS05005"
2,"Hypothetical proteincru:A33U_RS00570","Hypothetical proteincru:A33U_RS00725"
2,"Hypothetical proteinate:ATHE_RS01135(2)","Predicted in CGMate:ATHE_RS01135(1)"
2,"Hypothetical proteinate:ATHE_RS04595","Hypothetical proteinate:ATHE_RS02725"
2,"Inclusion membrane proteingm04013:NC80_RS02305","Membrane proteingm04013:NC80_RS02885"
2,"Hypothetical proteincmu:PL572","Inclusion membrane proteincmu:TC_RS03225"
2,"Predicted in CGMctb:PS11","Predicted in CGMctb:PS36"
2,"Pathogenicity island effector proteingm03940:BW21_RS23755","Hypothetical proteingm03940:BW21_RS23630"
2,"Hypothetical proteindet:DET_RS06035","Dehalogenasedet:DET_RS06045"
2,"Hypothetical proteindet:DET_RS05905","Hypothetical proteindet:DET_RS06330"
2,"Hypothetical proteindet:DET_RS06775","Serine recombinasedet:DET_RS07730"
2,"Hypothetical proteingm03671:SY84_RS14015","Hypothetical proteingm03671:SY84_RS03800"
2,"Hypothetical proteingm03671:SY84_RS15610","Hypothetical proteingm03671:SY84_RS14000"
2,"Hypothetical proteingm03671:SY84_RS15225","Hypothetical proteingm03671:SY84_RS10910"
2,"Ribonuclease Rgm03671:SY84_RS05180(2)","Hypothetical proteingm03671:SY84_RS02935"
2,"Hypothetical proteingm03671:SY84_RS08905","Hypothetical proteingm03671:SY84_RS08180"
2,"Hypothetical proteinddr:DEIDE_RS08465","Hypothetical proteinddr:DEIDE_RS11820(2)"
2,"Uracil-DNA glycosylasegm03671:SY84_RS13050","Hypothetical proteingm03671:SY84_RS07020"
2,"Hypothetical proteindae:PL96","Hypothetical proteindae:DTOX_RS16105"
2,"Hypothetical proteindca:DESCA_RS00460","Hypothetical proteindca:DESCA_RS09505"
2,"Hypothetical proteinddh:DESDE_RS08815","Multidrug ABC transporter ATPaseddh:DESDE_RS05630"
2,"Hypothetical proteindds:DDES_RS10335(2)","Hypothetical proteindds:DDES_RS10490"
2,"Hypothetical proteindde:DDE_RS02080","Hypothetical proteindde:DDE_RS07335"
2,"Hypothetical proteinpatr:EV46_RS03520","Hypothetical proteinpatr:EV46_RS13830"
2,"Hypothetical proteinere:EUBREC_RS12920","Hypothetical proteinere:EUBREC_RS06680"
2,"Hypothetical proteinefd:EFD32_RS01550","Head-tail adaptor proteinefd:EFD32_RS01555"
2,"Protein of unknown functionecas:ECBG_RS10420","Hypothetical proteinecas:ECBG_RS10895"
2,"Hypothetical proteinefl:EF62_RS08695","Hypothetical proteinefl:EF62_RS14145"
2,"Phi13 family phage major tail proteinbce:BC2592","Phage proteinbce:BC2590"
2,"Transcription antiterminator LicTefl:EF62_RS03285(2)","Hypothetical proteinefl:EF62_RS01625(1)"
2,"Membrane spanning proteinbast:BAST_RS03960","Murein hydrolase transporter LrgBbast:BAST_RS03955"
2,"Hypothetical proteinbcj:QU43_RS63855","Hypothetical proteinbcj:QU43_RS63860"
2,"Hypothetical proteineas:ENTAS_RS23125","Hypothetical proteineas:ENTAS_RS23140"
2,"Hypothetical proteinech:ECH_RS03955","Hypothetical proteinech:ECH_RS02435"
2,"Hypothetical proteinecn:ECAJ_RS00920(2)","Hypothetical proteinecn:ECAJ_RS03660"
2,"MFS transporterean:EAB7_RS06770(1)","MFS transporterean:EAB7_RS06770(3)"
2,"K88 fimbrial protein Aetc:ETAC_RS14655","K88 minor fimbrial subunit faeFetc:ETAC_RS14640"
2,"Membrane proteineay:EAM_RS13840","Hypothetical proteineay:EAM_RS15555"
2,"Cyclohexadienyl dehydratasegm04186:SD28_RS02870(2)","Cyclohexadienyl dehydratasegm04186:SD28_RS02870(1)"
2,"Predicted in CGMgm04197:AAX59_RS05505(1)","Hypothetical proteingm04197:AAX59_RS05505(3)"
2,"Membrane proteingm04187:FNO190_RS06835(2)","Fusaric acid resistance proteingm04187:FNO190_RS03985(2)"
2,"Hypothetical proteingm04187:FNO190_RS01335","Hypothetical lipoproteingm04187:FNO190_RS04070"
2,"Chitin-binding proteingm04187:FNO190_RS05930(2)","Chitin-binding proteingm04187:FNO190_RS05930(1)"
2,"Hypothetical proteinfta:PL325","Hypothetical proteinfta:PS428"
2,"Hypothetical proteingm04197:AAX59_RS05040","Hypothetical proteingm04197:AAX59_RS05240"
2,"Hypothetical proteinfta:PL1678","Predicted in CGMfta:PS873"
2,"Predicted in CGMgm04186:SD28_RS02920(2)","Predicted in CGMgm04186:SD28_RS02920(1)"
2,"Lipoproteingm04197:AAX59_RS08815","Hypothetical proteingm04197:AAX59_RS02240"
2,"Predicted in CGMgm04186:SD28_RS00475","Pilus assembly proteingm04186:SD28_RS06425"
2,"Hypothetical proteinfta:PS191","Hypothetical proteinfta:PS2256"
2,"Hypothetical membrane proteinftm:FTM_RS08830","Aminopeptidase Nftm:FTM_RS09790"
2,"Hypothetical proteinftm:FTM_RS03465","Hypothetical proteinftm:PS2544"
2,"Hypothetical proteingag:GLAAG_RS15650","Hypothetical proteingag:GLAAG_RS15655"
2,"Hypothetical proteingka:GK_RS01930","Hypothetical proteingka:GK_RS01935"
2,"Hypothetical proteingka:GK_RS02095","Hypothetical proteingka:GK_RS08135"
2,"ABC transporter ATP-binding proteingka:ST340","Hypothetical proteingka:PS3226"
2,"Predicted in CGMgka:ST1169","Hypothetical proteingka:GK_RS13660"
2,"Hypothetical proteingka:GK_RS11235","MFS transportergka:GK_RS15010"
2,"Hypothetical proteingka:GK_RS08125","Hypothetical proteingka:GK_RS15610"
2,"LPS biosynthesis proteinbmet:BMMGA3_RS14640","Hypothetical proteinbmet:BMMGA3_RS14670"
2,"Peptide ABC transporter substrate-binding proteingka:ST364","Hypothetical proteingka:GK_RS16560"
2,"Hypothetical proteingka:GK_RS02640","Hypothetical proteingka:GK_RS17085"
2,"Alpha trans-inducing factor proteinetc:ETAC_RS06940","Hypothetical proteinetc:ETAC_RS16150"
2,"Hypothetical proteinapo:ARCPR_1788","Hypothetical proteinapo:ARCPR_1750"
2,"Type III secretion system proteinbam:BAMB_RS21150","Peptide-binding proteinbam:BAMB_RS21170"
2,"Hypothetical proteingm04171:AAW08_RS09110","Hypothetical proteingm04171:AAW08_RS09115"
2,"Hypothetical proteinbif:N288_RS01975","Diaminopimelate epimerasebif:N288_RS14755"
2,"Hypothetical proteingm04032:AB183_RS01815","Hypothetical proteingm04032:AB183_RS01820"
2,"Hypothetical proteingm04031:F384_RS26145","Hypothetical proteingm04031:F384_RS27510"
2,"Hypothetical proteingm04119:LI62_RS11995","Hypothetical proteingm04119:LI62_RS12405"
2,"Hypothetical proteingm04119:LI62_RS12935","Hypothetical proteingm04119:LI62_RS12940"
2,"Hypothetical proteingm04119:LI62_RS11685","Membrane proteingm04119:LI62_RS11690"
2,"Membrane proteingm04117:LI64_RS23585","Periplasmic proteingm04117:LI64_RS23580"
2,"Hypothetical proteingm04341:MVIS_RS14420","Hypothetical proteingm04341:MVIS_RS14475"
2,"Hypothetical proteingm04341:MVIS_RS14485","Hypothetical proteingm04341:MVIS_RS14490"
2,"Pyridoxal-dependent decarboxylasegm04446:PSDT_RS05940","Pyridoxal-dependent decarboxylasegm04446:PSDT_RS05945"
2,"Histidine kinaseamac:MASE_RS07860(2)","Histidine kinaseamac:MASE_RS07860(1)"
2,"Hypothetical proteingbm:GBEM_RS15780","Hypothetical proteingbm:PS444"
2,"Hypothetical proteingbm:GBEM_RS00925","Hypothetical proteingbm:GBEM_RS17320"
2,"Lipoproteingeo:GEOB_RS06410","Hypothetical proteingeo:GEOB_RS04020"
2,"Hypothetical proteingbm:GBEM_RS07645","Hypothetical proteingbm:GBEM_RS01000"
2,"Hypothetical proteingbm:GBEM_RS17555","Hypothetical proteingbm:GBEM_RS13500"
2,"Hypothetical proteinhde:HDEF_RS02075","Hypothetical proteinhde:HDEF_RS02140"
2,"Hypothetical proteinhac:ST901","Uncharacterized protein jhp_0123; Flags: Precursorhac:ST180"
2,"Indole-3-glycerol phosphate synthasehac:HAC_RS02365","Hypothetical proteinhac:HAC_RS01925"
2,"Tellurite resistance TerB family proteinhac:HAC_RS04740","Periplasmic proteinhac:HAC_RS04125"
2,"LPS biosynthesis proteinhac:HAC_RS03595(2)","Lipoproteinhac:HAC_RS02865"
2,"Laminin subunit alpha-2 precursorhac:HAC_RS02285","Predicted coding region HP0897hac:HAC_RS05495"
2,"Membrane proteinhac:HAC_RS04175","Serine proteasehac:HAC_RS04825(1)"
2,"Hypothetical proteingm04221:NF38_RS06420","Hypothetical proteingm04221:NF38_RS06415"
2,"Hypothetical proteingm03678:RZ60_03700","Hypothetical proteingm03678:RZ60_03520"
2,"Hypothetical proteinkci:CKCE_RS02145","Uroporphyrin-III C-methyltransferasekci:CKCE_RS02035"
2,"Hypothetical proteingm04248:SE02_02625","Hypothetical proteingm04248:SE02_04225"
2,"Hypothetical proteingm04248:SE02_23725","Hypothetical proteingm04248:SE02_05890"
2,"Hypothetical proteingm04248:SE02_04470","Hypothetical proteingm04248:SE02_06775"
2,"Hypothetical proteingm04248:SE02_04955","Hypothetical proteingm04248:SE02_16050"
2,"Hypothetical proteineae:PS3654","Hypothetical proteineae:PS948"
2,"Hypothetical proteingm04248:SE02_11875","50S ribosomal protein L15gm04248:SE02_21115"
2,"Hypothetical proteingm04248:SE02_21695","Hypothetical proteingm04248:SE02_21710"
2,"Thiamine biosynthesis protein ThiSksk:KSE_RS28725","Acyl-CoA thioesteraseksk:KSE_RS28730"
2,"Hypothetical proteingm03991:G293_RS04110","Hypothetical proteingm03991:G293_RS04005"
2,"Hypothetical proteingm03991:G293_RS00175(2)","Hypothetical proteingm03991:G293_RS00185"
2,"Pilus assembly proteingm03991:G293_RS01900(1)","Hypothetical proteingm03991:G293_RS02185"
2,"Hypothetical proteinlbf:LBF_RS06140","Hypothetical proteinlbf:LBF_RS01370"
2,"Hypothetical proteingm04295:BRAT_RS06250","Hypothetical proteingm04295:BRAT_RS02670"
2,"Hypothetical proteinlbf:LBF_RS04585","Predicted in CGMlbf:LBF_RS14635(2)"
2,"Hypothetical proteinlbj:LBJ_RS01570","Toxin-antitoxin system antitoxin component HicB family proteinlbj:LBJ_RS15935"
2,"Segregation and condensation protein Bbha:BH_RS17655","Phenylalanine racemasebha:BH_RS17650"
2,"Serine protease HTRA1lin:LIN_RS02075","Molybdenum cofactor biosynthesis protein A 1lin:LIN_RS02155"
2,"Hypothetical proteinlin:LIN_RS03490","Hypothetical proteinlin:LIN_RS03495"
2,"Predicted in CGMlin:PS1306","Hypothetical proteinlin:PS1432"
2,"Putative 2'-O-methyl transferaselin:LIN_RS02295","Undefined functionlin:LIN_RS11175"
2,"Hypothetical proteinlin:LIN_RS13415","Hypothetical proteinlin:LIN_RS13485"
2,"Undefined functionlin:PS1455","Putative secreted proteinlin:ST276"
2,"CAAX amino proteasegm04288:LG36_RS00905(2)","CAAX amino proteasegm04288:LG36_RS00905(1)"
2,"Prophage ps1 protein 12llm:LLMG_RS11320","Prophage ps2 protein 09llm:LLMG_RS00210"
2,"RTX toxinlgr:LCGT_RS03250(2)","RTX toxinlgr:LCGT_RS03250(1)"
2,"Cell surface proteingm04288:LG36_RS08000(1)","LPXTG-anchored cell surface proteingm04288:LG36_RS08010(2)"
2,"Hypothetical proteingm04288:LG36_RS01515","Prophage ps3 protein 08gm04288:LG36_RS01500"
2,"Hypothetical proteingm04289:QI18_RS04325","Hypothetical proteingm04289:QI18_RS10860"
2,"Hypothetical proteingm04288:LG36_RS09260","Hypothetical proteingm04288:LG36_RS09915"
2,"Hypothetical proteinlci:LCK_RS02395","MFS transporterlci:LCK_RS00065"
2,"Hypothetical proteingm03610:N573_RS06805","Hypothetical proteingm03610:N573_RS06800"
2,"Hypothetical proteingm04275:ABB45_03430","Membrane proteingm04275:ABB45_10015"
2,"Hypothetical proteinlbr:LVIS_RS20350","Hypothetical proteinlbr:LVIS_RS21500"
2,"Bacteriocingm04283:SH83_RS01845","Membrane proteingm04283:SH83_RS13275"
2,"Hypothetical proteinlpa:LPA_RS04235(1)","Hypothetical proteinlpa:LPA_RS04235(3)"
2,"Hypothetical proteinlpa:LPA_RS05610","Hypothetical proteinlpa:LPA_RS05705"
2,"Dot/Icm secretion system substratelpe:LP12_RS00415","Hypothetical proteinlpe:LP12_RS06870"
2,"Hypothetical proteingm04291:LFA_RS04905","Dot/Icm secretion system substrategm04291:LFA_RS04280"
2,"Hypothetical proteinllo:LLO_RS12720","Hypothetical proteinllo:LLO_RS11525"
2,"Dot/Icm T4SS effectorgm04292:LHA_RS04570","Hypothetical proteingm04292:LHA_RS03395"
2,"Hypothetical proteingm03332:LOA_RS02935","Hypothetical proteingm03332:LOA_RS09780"
2,"Hypothetical proteingm04291:LFA_RS08265","Membrane proteingm04291:LFA_RS09920"
2,"DNA-damage-inducible protein Jlpa:ST2232","Hypothetical proteinlpa:PL2587"
2,"Hypothetical proteingm04291:LFA_RS15345","Hypothetical proteingm04291:LFA_RS11390"
2,"Carboxyphosphonoenolpyruvate phosphonomutasegm04316:HR49_RS16415(1)","Carboxyphosphonoenolpyruvate phosphonomutasegm04316:HR49_RS16415(2)"
2,"Hypothetical proteingm04316:HR49_RS08715(2)","Hypothetical proteingm04316:HR49_RS08715(1)"
2,"Hypothetical proteinmac:MA3184","Hypothetical proteinmac:MA3186"
2,"Hypothetical proteinmac:MA3074","Hypothetical proteinmac:MA3384"
2,"Hypothetical proteinmac:MA0214","Hypothetical proteinmac:MA3618"
2,"Hypothetical proteinmac:MA4385","Hypothetical proteinmac:MA4578"
2,"Hypothetical proteinmad:HP15_RS00815","Chemotaxis proteinmad:HP15_RS03065(1)"
2,"ARF GTPase activatorafs:AFR_RS14350","Hypothetical proteinafs:AFR_RS01465"
2,"Hypothetical proteinmbu:MBUR_1714","Hypothetical proteinmbu:MBUR_1715"
2,"Hypothetical proteinmea:MEXAM1_RS01585","Hypothetical proteinmea:MEXAM1_RS03435"
2,"Predicted in CGMmea:PL2073","Hypothetical proteinmea:MEXAM1_RS16890"
2,"Hypothetical proteinmea:MEXAM1_RS04760","Hypothetical proteinmea:MEXAM1_RS23285"
2,"Predicted in CGMmea:MEXAM1_RS10840(1)","Hypothetical proteinmea:MEXAM1_RS24405"
2,"Hypothetical proteinmfl:MFL028","Hypothetical proteinmfl:MFL361"
2,"Riboflavin kinasemfl:MFL283","Membrane proteinmfl:MFL545"
2,"Unknown substrate ABC transporter ATP-binding proteinmfl:MFL323","Prolipoproteinmfl:MFL594"
